,soft,perf,nb_inputs,is_tech,mae
0,nodejs,ops,5,random,0.6045589619416287
1,nodejs,ops,5,kmeans,0.9211129865602482
2,nodejs,ops,5,submodular,0.5604280668533446
3,nodejs,ops,5,hdbscan,0.9865816040660602
4,nodejs,ops,10,random,0.6734032396239911
5,nodejs,ops,10,kmeans,0.7834078088957143
6,nodejs,ops,10,submodular,0.5619801796317396
7,nodejs,ops,10,hdbscan,0.8909763409866933
8,nodejs,ops,25,random,0.6730643696930996
9,nodejs,ops,25,kmeans,0.7406563680492215
10,nodejs,ops,25,submodular,0.7972814439288483
11,nodejs,ops,25,hdbscan,0.6127470327918783
12,nodejs,ops,50,random,0.6987385533655137
13,nodejs,ops,50,kmeans,0.7969439241316965
14,nodejs,ops,50,submodular,0.8009290841923609
15,nodejs,ops,50,hdbscan,0.6405969760037054
16,nodejs,ops,100,random,0.5917448491353308
17,nodejs,ops,100,kmeans,0.7781763454456982
18,nodejs,ops,100,submodular,0.8624560990253858
19,nodejs,ops,100,hdbscan,0.5767351236163965
20,nodejs,ops,200,random,0.49784818994583757
21,nodejs,ops,200,kmeans,0.7484862855036589
22,nodejs,ops,200,submodular,0.6094628552978935
23,nodejs,ops,200,hdbscan,0.511769649208357
24,nodejs,ops,300,random,0.48440782994070963
25,nodejs,ops,300,kmeans,0.5657659709646337
26,nodejs,ops,300,submodular,0.5773157095038902
27,nodejs,ops,300,hdbscan,0.4895770055188461
28,nodejs,ops,500,random,0.45175561206112935
29,nodejs,ops,500,kmeans,0.5493047604932687
30,nodejs,ops,500,submodular,0.5468613300141568
31,nodejs,ops,500,hdbscan,0.5164460777699478
32,nodejs,ops,1000,random,0.44940658465420363
33,nodejs,ops,1000,kmeans,0.6031006934187131
34,nodejs,ops,1000,submodular,0.46143480950036375
35,nodejs,ops,1000,hdbscan,0.5847751564537317
36,nodejs,ops,1500,random,0.42969327966141224
37,nodejs,ops,1500,kmeans,0.47575979531120405
38,nodejs,ops,1500,submodular,0.39564332500312116
39,nodejs,ops,1500,hdbscan,0.6535347847498539
40,poppler,size,5,random,0.9884950975851453
41,poppler,size,5,kmeans,0.904276659767803
