,soft,perf,nb_inputs,is_tech,mae
0,nodejs,ops,2,random,0.572432040209865
1,nodejs,ops,2,kmeans,1.2023370686811456
2,nodejs,ops,2,submodular,0.5593618886813037
3,nodejs,ops,2,hdbscan,1.2023370686811456
4,nodejs,ops,5,random,0.6836912709628317
5,nodejs,ops,5,kmeans,0.934437657375111
6,nodejs,ops,5,submodular,0.5604367209316871
7,nodejs,ops,5,hdbscan,0.9649680564917527
8,nodejs,ops,10,random,0.6519686404845909
9,nodejs,ops,10,kmeans,0.7854457468583467
10,nodejs,ops,10,submodular,0.5620700475657241
11,nodejs,ops,10,hdbscan,0.8861985790981024
12,nodejs,ops,25,random,0.6516454895539006
13,nodejs,ops,25,kmeans,0.736502383338179
14,nodejs,ops,25,submodular,0.7973531799342705
15,nodejs,ops,25,hdbscan,0.6111700255537772
16,nodejs,ops,50,random,0.5826005865471666
17,nodejs,ops,50,kmeans,0.7992016242570423
18,nodejs,ops,50,submodular,0.8006854689865526
19,nodejs,ops,50,hdbscan,0.6376067356336734
20,nodejs,ops,100,random,0.5659127163105782
21,nodejs,ops,100,kmeans,0.7987259522934357
22,nodejs,ops,100,submodular,0.8619941910146552
23,nodejs,ops,100,hdbscan,0.5769168390566893
24,nodejs,ops,200,random,0.49279045157313706
25,nodejs,ops,200,kmeans,0.7571488512249553
26,nodejs,ops,200,submodular,0.6106490969072089
27,nodejs,ops,200,hdbscan,0.5118232254735099
28,nodejs,ops,300,random,0.4810488067323912
29,nodejs,ops,300,kmeans,0.5668099038245014
30,nodejs,ops,300,submodular,0.5815501020738575
31,nodejs,ops,300,hdbscan,0.49010934246273774
32,nodejs,ops,500,random,0.48215099962387875
33,nodejs,ops,500,kmeans,0.5467787706009116
34,nodejs,ops,500,submodular,0.5475667530529511
35,nodejs,ops,500,hdbscan,0.5161147302222713
36,nodejs,ops,1000,random,0.4366027070250322
37,nodejs,ops,1000,kmeans,0.609255398155091
38,nodejs,ops,1000,submodular,0.46143480950036375
39,nodejs,ops,1000,hdbscan,0.5849631426665698
40,nodejs,ops,1500,random,0.42946132394657044
41,nodejs,ops,1500,kmeans,0.48045625013093207
42,nodejs,ops,1500,submodular,0.39564332500312116
43,nodejs,ops,1500,hdbscan,0.6538876288693505
44,poppler,size,2,random,0.8069675768952352
45,poppler,size,2,kmeans,0.8332471735011049
46,poppler,size,2,submodular,1.1129983448022158
47,poppler,size,2,hdbscan,0.6764447955446988
48,poppler,size,5,random,0.7451602498497255
49,poppler,size,5,kmeans,0.6301484661843396
50,poppler,size,5,submodular,0.9527066560325963
51,poppler,size,5,hdbscan,0.6907963629029512
52,poppler,size,10,random,0.650410815018349
53,poppler,size,10,kmeans,0.6950504831556767
54,poppler,size,10,submodular,0.8925525656759292
55,poppler,size,10,hdbscan,0.7803595060823444
56,poppler,size,20,random,0.6238785101993389
57,poppler,size,20,kmeans,0.6816592777815034
58,poppler,size,20,submodular,0.8981865955203588
59,poppler,size,20,hdbscan,0.7053953023206626
60,poppler,size,50,random,0.63406790985177
61,poppler,size,50,kmeans,0.506197270955761
62,poppler,size,50,submodular,0.7171343811506199
63,poppler,size,50,hdbscan,0.5828917646563248
64,poppler,size,100,random,0.5753561331949895
65,poppler,size,100,kmeans,0.5553845568121559
66,poppler,size,100,submodular,0.6564374110459275
67,poppler,size,100,hdbscan,0.5590600447927347
68,poppler,size,200,random,0.5963929945304762
69,poppler,size,200,kmeans,0.5416078450546833
70,poppler,size,200,submodular,0.5791885613173643
71,poppler,size,200,hdbscan,0.5445238468810112
72,poppler,size,500,random,0.5204723185441555
73,poppler,size,500,kmeans,0.5436577943651462
74,poppler,size,500,submodular,0.5656257572710597
75,poppler,size,500,hdbscan,0.5624283360655062
76,poppler,size,800,random,0.5252285405684398
77,poppler,size,800,kmeans,0.5578726559993847
78,poppler,size,800,submodular,0.5327585366212626
79,poppler,size,800,hdbscan,0.590067686671064
80,poppler,size,1000,random,0.560314548866583
81,poppler,size,1000,kmeans,0.5273730351792048
82,poppler,size,1000,submodular,0.5335976580748012
83,poppler,size,1000,hdbscan,0.6167974611062033
84,poppler,size,1300,random,0.5608129893362742
85,poppler,size,1300,kmeans,0.5285821788522242
86,poppler,size,1300,submodular,0.5343918556510194
87,poppler,size,1300,hdbscan,0.5751878065797575
88,poppler,time,2,random,0.9770307716796989
89,poppler,time,2,kmeans,0.744793584206049
90,poppler,time,2,submodular,0.9308724489536079
91,poppler,time,2,hdbscan,0.8518374045327353
92,poppler,time,5,random,0.6115151353736543
93,poppler,time,5,kmeans,0.8343189632780588
94,poppler,time,5,submodular,0.8147511098018532
95,poppler,time,5,hdbscan,0.8707595804145629
96,poppler,time,10,random,0.5960804588817774
97,poppler,time,10,kmeans,0.759980452700675
98,poppler,time,10,submodular,0.82826450211736
99,poppler,time,10,hdbscan,0.6830126399122499
100,poppler,time,20,random,0.6228562651042465
101,poppler,time,20,kmeans,0.7397486163642096
102,poppler,time,20,submodular,0.7104310556264035
103,poppler,time,20,hdbscan,0.6563240208898092
104,poppler,time,50,random,0.678411242258959
105,poppler,time,50,kmeans,0.7478697322015926
106,poppler,time,50,submodular,0.6969203012308692
107,poppler,time,50,hdbscan,0.6307359611207333
108,poppler,time,100,random,0.6051369383197094
109,poppler,time,100,kmeans,0.6815598362052389
110,poppler,time,100,submodular,0.6459559542996113
111,poppler,time,100,hdbscan,0.599502071276445
112,poppler,time,200,random,0.6160517251471049
113,poppler,time,200,kmeans,0.660399823209074
114,poppler,time,200,submodular,0.639533123563217
115,poppler,time,200,hdbscan,0.6241270579727652
116,poppler,time,500,random,0.5962455608329316
117,poppler,time,500,kmeans,0.6619963691393203
118,poppler,time,500,submodular,0.5991846199902364
119,poppler,time,500,hdbscan,0.5841315186011008
120,poppler,time,800,random,0.5950074572763838
121,poppler,time,800,kmeans,0.6171735859157261
122,poppler,time,800,submodular,0.578051565471942
123,poppler,time,800,hdbscan,0.595748272810534
124,poppler,time,1000,random,0.5902917059947439
125,poppler,time,1000,kmeans,0.6018910373138154
126,poppler,time,1000,submodular,0.5778186284827668
127,poppler,time,1000,hdbscan,0.5719464832847034
128,poppler,time,1300,random,0.6051329073169363
129,poppler,time,1300,kmeans,0.59804060679167
130,poppler,time,1300,submodular,0.5778154126746247
131,poppler,time,1300,hdbscan,0.5698781229673353
132,xz,size,2,random,0.10722748492703757
133,xz,size,2,kmeans,0.4744650330678219
134,xz,size,2,submodular,0.10179502614740528
135,xz,size,2,hdbscan,0.4744650330678219
136,xz,size,5,random,0.08454157780731193
137,xz,size,5,kmeans,0.16908757842648817
138,xz,size,5,submodular,0.08550260674643352
139,xz,size,5,hdbscan,0.19021260346701688
140,xz,size,10,random,0.08804212186781163
141,xz,size,10,kmeans,0.10395527377317382
142,xz,size,10,submodular,0.09664235007783387
143,xz,size,10,hdbscan,0.1278066972983964
144,xz,size,25,random,0.1090321191997424
145,xz,size,25,kmeans,0.09867833644209648
146,xz,size,25,submodular,0.09944669251005689
147,xz,size,25,hdbscan,0.10751315049217276
148,xz,size,30,random,0.08577040389113048
149,xz,size,30,kmeans,0.09940626174846841
150,xz,size,30,submodular,0.10622275084182724
151,xz,size,30,hdbscan,0.10868748130283393
152,xz,time,2,random,0.3468018640307735
153,xz,time,2,kmeans,1.0340254926014292
154,xz,time,2,submodular,0.4001242846425869
155,xz,time,2,hdbscan,1.0340254926014292
156,xz,time,5,random,0.305980371662988
157,xz,time,5,kmeans,0.4566528463393584
158,xz,time,5,submodular,0.3113926081977215
159,xz,time,5,hdbscan,0.542958307405385
160,xz,time,10,random,0.3207439124739619
161,xz,time,10,kmeans,0.33578790557036536
162,xz,time,10,submodular,0.32278145209402076
163,xz,time,10,hdbscan,0.37213332093145224
164,xz,time,25,random,0.3503723378635391
165,xz,time,25,kmeans,0.3145482377899607
166,xz,time,25,submodular,0.3133697544337536
167,xz,time,25,hdbscan,0.30996505388251944
168,xz,time,30,random,0.2632142929089845
169,xz,time,30,kmeans,0.3266669498370475
170,xz,time,30,submodular,0.3034810536870693
171,xz,time,30,hdbscan,0.3027939770196972
172,x264,size,2,random,0.4633242015490703
173,x264,size,2,kmeans,0.6844544601219978
