,soft,perf,nb_inputs,nb_config,mae
0,nodejs,ops,2,0.1,0.6129812238491705
1,nodejs,ops,5,0.1,0.8306200932268597
2,nodejs,ops,10,0.1,0.7435189627317718
3,nodejs,ops,25,0.1,0.707300689749996
4,nodejs,ops,50,0.1,0.6426789762177242
5,nodejs,ops,100,0.1,0.6189651834548724
6,nodejs,ops,200,0.1,0.5833902559176678
7,nodejs,ops,300,0.1,0.5476177686406523
8,nodejs,ops,500,0.1,0.5130372126924063
9,nodejs,ops,1000,0.1,0.4825346695920717
10,nodejs,ops,1500,0.1,0.46737638980953583
11,nodejs,ops,2,0.2,0.7965827651782325
12,nodejs,ops,5,0.2,0.7799565440462188
13,nodejs,ops,10,0.2,0.7282378409070775
14,nodejs,ops,25,0.2,0.6615122754162652
15,nodejs,ops,50,0.2,0.6378192440631233
16,nodejs,ops,100,0.2,0.597936805705162
17,nodejs,ops,200,0.2,0.5461675259223999
18,nodejs,ops,300,0.2,0.5161313384978704
19,nodejs,ops,500,0.2,0.4877765973309885
20,nodejs,ops,1000,0.2,0.46222671002482657
21,nodejs,ops,1500,0.2,0.4605143069142159
22,nodejs,ops,2,0.3,0.6487958667981787
23,nodejs,ops,5,0.3,0.7477200675385955
24,nodejs,ops,10,0.3,0.7371494203972021
25,nodejs,ops,25,0.3,0.6906465936743171
26,nodejs,ops,50,0.3,0.6513399068679605
27,nodejs,ops,100,0.3,0.5836001673590351
28,nodejs,ops,200,0.3,0.5224614843431143
29,nodejs,ops,300,0.3,0.49620267327979606
30,nodejs,ops,500,0.3,0.47373335885449563
31,nodejs,ops,1000,0.3,0.45230894426085455
32,nodejs,ops,1500,0.3,0.44869651571248703
33,nodejs,ops,2,0.4,0.8464033443205023
34,nodejs,ops,5,0.4,0.7897856576272336
35,nodejs,ops,10,0.4,0.7654224561809533
36,nodejs,ops,25,0.4,0.6833249377996551
37,nodejs,ops,50,0.4,0.6238687659042736
38,nodejs,ops,100,0.4,0.5677692793757909
39,nodejs,ops,200,0.4,0.507132319730516
40,nodejs,ops,300,0.4,0.4851570774549005
41,nodejs,ops,500,0.4,0.46841264052235576
42,nodejs,ops,1000,0.4,0.4473142408543107
43,nodejs,ops,1500,0.4,0.44277536653400773
44,nodejs,ops,2,0.5,0.7624962579195098
45,nodejs,ops,5,0.5,0.6924633113917349
46,nodejs,ops,10,0.5,0.7259316135782484
47,nodejs,ops,25,0.5,0.6983248462642739
48,nodejs,ops,50,0.5,0.6131095916467711
49,nodejs,ops,100,0.5,0.5655659442176908
