,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,13.975436083304768,0.17710161209106445
1,0.1,random,0.1,1,12.451585341088084,0.17992758750915527
2,0.1,random,0.1,2,17.765866435606664,0.17890667915344238
3,0.1,random,0.1,3,12.491065375099447,0.17576909065246582
4,0.1,random,0.1,4,12.262575532805458,0.1736314296722412
5,0.1,random,0.1,5,13.648557009753087,0.1734333038330078
6,0.1,random,0.1,6,26.22802232884357,0.17711901664733887
7,0.1,random,0.1,7,10.557512889165274,0.1767106056213379
8,0.1,random,0.1,8,17.115170076997334,0.17479729652404785
9,0.1,random,0.1,9,10.831190482565207,0.17444276809692383
10,0.1,same_input_grp,0.1,0,12.024783731285444,0.17844057083129883
11,0.1,same_input_grp,0.1,1,12.374318641558895,0.17896151542663574
12,0.1,same_input_grp,0.1,2,14.054388450153999,0.17427992820739746
13,0.1,same_input_grp,0.1,3,22.441812185410136,0.17561578750610352
14,0.1,same_input_grp,0.1,4,11.393596888311034,0.17920374870300293
15,0.1,same_input_grp,0.1,5,12.669639676682277,0.17392516136169434
16,0.1,same_input_grp,0.1,6,16.021167794523258,0.17413115501403809
17,0.1,same_input_grp,0.1,7,14.723287684549168,0.17880487442016602
18,0.1,same_input_grp,0.1,8,8.179183437477766,0.1760561466217041
19,0.1,same_input_grp,0.1,9,11.748404203225066,0.17380142211914062
20,0.1,closest_properties,0.1,0,14.628419306292004,0.17628002166748047
21,0.1,closest_properties,0.1,1,18.144131989161284,0.17687296867370605
22,0.1,closest_properties,0.1,2,17.797786583226767,0.17693018913269043
23,0.1,closest_properties,0.1,3,13.991356412205311,0.17576050758361816
24,0.1,closest_properties,0.1,4,16.566331443514805,0.17675089836120605
25,0.1,closest_properties,0.1,5,11.808909199202988,0.18036103248596191
26,0.1,closest_properties,0.1,6,17.14724682582568,0.1780076026916504
27,0.1,closest_properties,0.1,7,15.720831919935438,0.17453503608703613
28,0.1,closest_properties,0.1,8,17.125695497582967,0.1751396656036377
29,0.1,closest_properties,0.1,9,12.845084390994732,0.17944574356079102
30,0.1,max_perf_corr,0.1,0,18.64046699330221,0.17708778381347656
31,0.1,max_perf_corr,0.1,1,15.650372399280677,0.176926851272583
32,0.1,max_perf_corr,0.1,2,13.800978217603852,0.18001627922058105
33,0.1,max_perf_corr,0.1,3,11.652814992399879,0.1757338047027588
34,0.1,max_perf_corr,0.1,4,15.891565161046683,0.17577791213989258
35,0.1,max_perf_corr,0.1,5,10.05343151519334,0.1801896095275879
36,0.1,max_perf_corr,0.1,6,13.212224250403434,0.18071842193603516
37,0.1,max_perf_corr,0.1,7,12.951643679576474,0.17635297775268555
38,0.1,max_perf_corr,0.1,8,12.528159253194005,0.18059611320495605
39,0.1,max_perf_corr,0.1,9,21.424113735306737,0.18062663078308105
40,0.1,random,0.2,0,12.761564014879637,0.17535662651062012
