,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,5.150462755959147,0.013686180114746094
1,0.1,random,0.1,1,4.516503458125379,0.011563777923583984
2,0.1,random,0.1,2,1.1906578076942644,0.011525869369506836
3,0.1,random,0.1,3,0.40856890095575543,0.014664649963378906
4,0.1,random,0.1,4,2.2450928799823378,0.01705002784729004
5,0.1,random,0.1,5,1.9434983779967836e-05,0.013387203216552734
6,0.1,random,0.1,6,0.5036905670450466,0.014602184295654297
7,0.1,random,0.1,7,2.0520244107188415,0.01503300666809082
8,0.1,random,0.1,8,0.5039135012871533,0.014161109924316406
9,0.1,random,0.1,9,0.40856890095575543,0.01440572738647461
10,0.1,same_input_grp,0.1,0,1.1906578056936905,0.01263737678527832
11,0.1,same_input_grp,0.1,1,1.6944617052228481,0.016689062118530273
12,0.1,same_input_grp,0.1,2,6.055112964124107,0.014235258102416992
13,0.1,same_input_grp,0.1,3,2.2518756180719186,0.010077714920043945
14,0.1,same_input_grp,0.1,4,0.0,0.012737274169921875
15,0.1,same_input_grp,0.1,5,1.5143925666689012e-05,0.013335227966308594
16,0.1,same_input_grp,0.1,6,0.40856890095575543,0.014386415481567383
17,0.1,same_input_grp,0.1,7,2.4054310979154603,0.016683101654052734
18,0.1,same_input_grp,0.1,8,0.40857554382142314,0.014745235443115234
19,0.1,same_input_grp,0.1,9,1.5138319057047224e-05,0.012162923812866211
20,0.1,closest_properties,0.1,0,4.516503458125379,0.014234542846679688
21,0.1,closest_properties,0.1,1,0.40856890095575543,0.015902996063232422
22,0.1,closest_properties,0.1,2,3.2223977054209,0.013821840286254883
23,0.1,closest_properties,0.1,3,7.457930741221584,0.014444112777709961
24,0.1,closest_properties,0.1,4,8.923568617416693,0.015949249267578125
25,0.1,closest_properties,0.1,5,5.286864167305591,0.014438390731811523
26,0.1,closest_properties,0.1,6,0.5036839291993992,0.015505790710449219
27,0.1,closest_properties,0.1,7,9.047922054176825,0.017758846282958984
28,0.1,closest_properties,0.1,8,1.8029109084909012,0.015563249588012695
29,0.1,closest_properties,0.1,9,1.5786562992545834,0.014054059982299805
30,0.1,max_perf_corr,0.1,0,1.4433037937279791,0.01638031005859375
31,0.1,max_perf_corr,0.1,1,1.9434983779967836e-05,0.015700578689575195
32,0.1,max_perf_corr,0.1,2,1.4433037937279791,0.016434669494628906
33,0.1,max_perf_corr,0.1,3,0.40856890095575543,0.016002893447875977
34,0.1,max_perf_corr,0.1,4,2.4402331682315275,0.01634693145751953
35,0.1,max_perf_corr,0.1,5,3.624150475746326,0.01673126220703125
36,0.1,max_perf_corr,0.1,6,1.5143925666689012e-05,0.015042781829833984
37,0.1,max_perf_corr,0.1,7,1.944160323587442e-05,0.01495361328125
38,0.1,max_perf_corr,0.1,8,1.5136322087624736e-05,0.014426946640014648
39,0.1,max_perf_corr,0.1,9,1.5143925666689012e-05,0.014506340026855469
40,0.1,random,0.2,0,1057333333.3929427,0.015646934509277344
41,0.1,random,0.2,1,4.5085570748464345,0.01326608657836914
42,0.1,random,0.2,2,8.831094146833733,0.012833833694458008
43,0.1,random,0.2,3,1.8003787554434145,0.014276742935180664
44,0.1,random,0.2,4,3.570439835644617,0.011860132217407227
45,0.1,random,0.2,5,2.2518756180719186,0.009981393814086914
46,0.1,random,0.2,6,9.0041036507352,0.01153707504272461
47,0.1,random,0.2,7,4.514587829898601,0.012693405151367188
48,0.1,random,0.2,8,4.514587829898601,0.012595653533935547
49,0.1,random,0.2,9,8.831089700125332,0.012715339660644531
