,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,18.3212730544802,0.16932153701782227
1,0.1,random,0.1,1,6.2617798888162355,0.16827082633972168
2,0.1,random,0.1,2,11.91904638917681,0.16446208953857422
3,0.1,random,0.1,3,15.946773619057804,0.1630105972290039
4,0.1,random,0.1,4,20.73542288683166,0.16317081451416016
5,0.1,random,0.1,5,6.213049638433117,0.16243267059326172
6,0.1,random,0.1,6,18.995977722416086,0.1628425121307373
7,0.1,random,0.1,7,19.995386458571964,0.16318202018737793
8,0.1,random,0.1,8,19.582290872611722,0.16285181045532227
9,0.1,random,0.1,9,35.230033725258224,0.1629626750946045
10,0.1,same_input_grp,0.1,0,22.665909403609838,0.1628861427307129
11,0.1,same_input_grp,0.1,1,15.855110157247632,0.16204428672790527
12,0.1,same_input_grp,0.1,2,19.081661744374408,0.16252851486206055
13,0.1,same_input_grp,0.1,3,8.813860080885833,0.16263556480407715
14,0.1,same_input_grp,0.1,4,11.076616227125008,0.1623857021331787
15,0.1,same_input_grp,0.1,5,12.44917805018953,0.16259431838989258
16,0.1,same_input_grp,0.1,6,10.503230471133074,0.16201233863830566
17,0.1,same_input_grp,0.1,7,11.619436475744717,0.16196012496948242
18,0.1,same_input_grp,0.1,8,15.477061527560403,0.16208362579345703
19,0.1,same_input_grp,0.1,9,17.67326116801783,0.16297650337219238
20,0.1,closest_properties,0.1,0,8.920150440032177,0.1939685344696045
21,0.1,closest_properties,0.1,1,11.62592958151927,0.19481563568115234
22,0.1,closest_properties,0.1,2,22.31010319400526,0.19414258003234863
23,0.1,closest_properties,0.1,3,13.213793003527396,0.19401884078979492
24,0.1,closest_properties,0.1,4,6.790077315978007,0.19481968879699707
25,0.1,closest_properties,0.1,5,38.50076433571043,0.19409751892089844
26,0.1,closest_properties,0.1,6,14.022855828382063,0.19525504112243652
27,0.1,closest_properties,0.1,7,122.20239149243919,0.19549179077148438
28,0.1,closest_properties,0.1,8,5.6978998793235505,0.19615769386291504
29,0.1,closest_properties,0.1,9,16.785079122995516,0.20320987701416016
30,0.1,max_perf_corr,0.1,0,2.4083496720818194,0.23128437995910645
31,0.1,max_perf_corr,0.1,1,20.576629156201886,0.231642484664917
32,0.1,max_perf_corr,0.1,2,14.277274252034752,0.23479795455932617
33,0.1,max_perf_corr,0.1,3,21.39911966074918,0.36220765113830566
34,0.1,max_perf_corr,0.1,4,8.604333133362035,0.21242594718933105
35,0.1,max_perf_corr,0.1,5,6.565198394653439,0.2127671241760254
36,0.1,max_perf_corr,0.1,6,9.589488608254491,0.2125992774963379
37,0.1,max_perf_corr,0.1,7,7.855596417745754,0.21228671073913574
38,0.1,max_perf_corr,0.1,8,14.445659021391302,0.21197152137756348
39,0.1,max_perf_corr,0.1,9,11.401152201277403,0.21220898628234863
40,0.1,random,0.2,0,6.382042350490368,0.16383719444274902
41,0.1,random,0.2,1,19.563411123150985,0.16298627853393555
42,0.1,random,0.2,2,14.109833624292529,0.1625688076019287
43,0.1,random,0.2,3,13.440097862049624,0.16310882568359375
44,0.1,random,0.2,4,13.842724144135884,0.1624603271484375
45,0.1,random,0.2,5,28.26250131088476,0.163008451461792
46,0.1,random,0.2,6,15.890013922870114,0.16327428817749023
47,0.1,random,0.2,7,17.860789826381264,0.16238737106323242
48,0.1,random,0.2,8,11.755265638318882,0.16592884063720703
49,0.1,random,0.2,9,14.972118293715543,0.163710355758667
50,0.1,same_input_grp,0.2,0,11.693226142072303,0.16345500946044922
51,0.1,same_input_grp,0.2,1,45.74192269937342,0.1626448631286621
52,0.1,same_input_grp,0.2,2,31.510996794040462,0.16309094429016113
53,0.1,same_input_grp,0.2,3,15.587182601526505,0.16240143775939941
54,0.1,same_input_grp,0.2,4,3.7225985601397498,0.16253161430358887
55,0.1,same_input_grp,0.2,5,22.976401914673733,0.1623537540435791
56,0.1,same_input_grp,0.2,6,24.317507521189082,0.16301894187927246
57,0.1,same_input_grp,0.2,7,10.618600160661353,0.16279983520507812
58,0.1,same_input_grp,0.2,8,21.79359750616883,0.16292858123779297
59,0.1,same_input_grp,0.2,9,26.188643375764727,0.16276240348815918
60,0.1,closest_properties,0.2,0,30.751914066697122,0.22554254531860352
61,0.1,closest_properties,0.2,1,12.79768465183688,0.22535347938537598
62,0.1,closest_properties,0.2,2,19.598600726135516,0.22600364685058594
63,0.1,closest_properties,0.2,3,5.473424284537195,0.22638654708862305
64,0.1,closest_properties,0.2,4,6.529536100090462,0.22489023208618164
65,0.1,closest_properties,0.2,5,14.55332932291159,0.22559452056884766
66,0.1,closest_properties,0.2,6,15.14942580507824,0.22499871253967285
67,0.1,closest_properties,0.2,7,23.40737444772578,0.2294621467590332
68,0.1,closest_properties,0.2,8,15.166732184998303,0.22522640228271484
69,0.1,closest_properties,0.2,9,14.254393115537914,0.22442030906677246
70,0.1,max_perf_corr,0.2,0,2.322186890197595,0.2603302001953125
71,0.1,max_perf_corr,0.2,1,11.516580825756781,0.2590482234954834
72,0.1,max_perf_corr,0.2,2,13.130637530325634,0.25878286361694336
73,0.1,max_perf_corr,0.2,3,12.596160864110203,0.2577381134033203
74,0.1,max_perf_corr,0.2,4,10.493559635555878,0.25719761848449707
75,0.1,max_perf_corr,0.2,5,15.40378931056193,0.25748538970947266
76,0.1,max_perf_corr,0.2,6,3.2209415212063157,0.2569894790649414
77,0.1,max_perf_corr,0.2,7,13.976503387281062,0.25534510612487793
78,0.1,max_perf_corr,0.2,8,5.986925366737593,0.25771474838256836
79,0.1,max_perf_corr,0.2,9,9.46226858375343,0.2555563449859619
80,0.1,random,0.30000000000000004,0,25.509449212682973,0.16312289237976074
81,0.1,random,0.30000000000000004,1,11.642520415958835,0.16292333602905273
82,0.1,random,0.30000000000000004,2,8.230863363453993,0.1631474494934082
83,0.1,random,0.30000000000000004,3,26.316565990238406,0.16344571113586426
84,0.1,random,0.30000000000000004,4,11.279710875689624,0.163008451461792
85,0.1,random,0.30000000000000004,5,23.765548317338762,0.1632988452911377
