,proportion_train_config,prop_inputs_source,id repetition,mape,training_time
0,0.1,0.1,0,2.433862433862426,0.1543135643005371
1,0.1,0.1,1,3.1558185404338954,0.16330504417419434
2,0.1,0.1,2,15.36013400335007,0.1504676342010498
3,0.1,0.1,3,1.685823754789237,0.15103387832641602
4,0.1,0.1,4,15.34391534391528,0.15397214889526367
5,0.1,0.1,5,36.970338983050894,0.15122294425964355
6,0.1,0.1,6,10.092592592592563,0.15328335762023926
7,0.1,0.1,7,115.5359477124183,0.15164947509765625
8,0.1,0.1,8,5.75757575757589,0.14804887771606445
9,0.1,0.1,9,43.31347517730502,0.14927244186401367
10,0.1,0.2,0,65.3603603603603,0.2077641487121582
11,0.1,0.2,1,86.75191815856795,0.19646906852722168
12,0.1,0.2,2,1908.823529411768,0.22276759147644043
13,0.1,0.2,3,34.45456355130873,0.21252202987670898
14,0.1,0.2,4,4.145176695319992,0.1968064308166504
15,0.1,0.2,5,2.1686746987953116,0.19179511070251465
16,0.1,0.2,6,16.90322580645166,0.1839137077331543
17,0.1,0.2,7,5705.236270753523,0.18315911293029785
18,0.1,0.2,8,5.428571428571476,0.18102502822875977
19,0.1,0.2,9,3.290043290043307,0.1849210262298584
20,0.1,0.30000000000000004,0,35.55555555555553,0.24077224731445312
21,0.1,0.30000000000000004,1,36.664102564102606,0.2398700714111328
22,0.1,0.30000000000000004,2,5.645161290322625,0.2904670238494873
23,0.1,0.30000000000000004,3,5.622489959839213,0.25285935401916504
24,0.1,0.30000000000000004,4,7.496542185338869,0.24155092239379883
25,0.1,0.30000000000000004,5,1.685823754789237,0.23906326293945312
26,0.1,0.30000000000000004,6,318.88685463200346,0.2367098331451416
27,0.1,0.30000000000000004,7,94.64553195855132,0.23399591445922852
28,0.1,0.30000000000000004,8,267.75203665987794,0.2487626075744629
29,0.1,0.30000000000000004,9,8.266666666666769,0.25484442710876465
30,0.1,0.4,0,40.055834729201564,0.2893345355987549
31,0.1,0.4,1,2.210587550901654,0.2832753658294678
32,0.1,0.4,2,452.9476584022026,0.28842949867248535
33,0.1,0.4,3,5.128205128205108,0.3112199306488037
34,0.1,0.4,4,6.269113149847096,0.28987884521484375
35,0.1,0.4,5,1.379310344827607,0.2867732048034668
36,0.1,0.4,6,2.727272727272725,0.2894444465637207
37,0.1,0.4,7,18.08283233132935,0.2849609851837158
38,0.1,0.4,8,4.761904761904791,0.27971887588500977
39,0.1,0.4,9,101.74830612018218,0.286715030670166
40,0.1,0.5,0,7.714285714285761,0.3508188724517822
41,0.1,0.5,1,5.821596244131408,0.34061646461486816
42,0.1,0.5,2,37.61904761904762,0.3408055305480957
43,0.1,0.5,3,32.03856749311308,0.3466300964355469
44,0.1,0.5,4,5.158730158730018,0.3358478546142578
45,0.1,0.5,5,36.970338983050894,0.33507442474365234
46,0.1,0.5,6,7.485380116959209,0.35782766342163086
47,0.1,0.5,7,16.311239193083622,0.3453178405761719
48,0.1,0.5,8,105.92851050631941,0.34209322929382324
49,0.1,0.5,9,5.555555555555642,0.3366985321044922
50,0.1,0.6000000000000001,0,16.92307692307678,0.39437365531921387
51,0.1,0.6000000000000001,1,6.009389671361483,0.3835451602935791
52,0.1,0.6000000000000001,2,18.714859437751024,0.3971433639526367
53,0.1,0.6000000000000001,3,1.3216502373128223,0.3958580493927002
54,0.1,0.6000000000000001,4,161.35945815191113,0.4053471088409424
55,0.1,0.6000000000000001,5,8.921568627451034,0.4066133499145508
56,0.1,0.6000000000000001,6,29.91684830871077,0.3998584747314453
57,0.1,0.6000000000000001,7,7.7160493827160375,0.41678929328918457
58,0.1,0.6000000000000001,8,39.9019607843137,0.4010660648345947
59,0.1,0.6000000000000001,9,8.498168498168516,0.41088104248046875
60,0.1,0.7000000000000001,0,236.6807313642763,0.4649689197540283
61,0.1,0.7000000000000001,1,21.7771906649053,0.48877716064453125
62,0.1,0.7000000000000001,2,8.199233716475208,0.4651479721069336
63,0.1,0.7000000000000001,3,316.79395385839337,0.46037817001342773
64,0.1,0.7000000000000001,4,67.50326797385625,0.45998454093933105
65,0.1,0.7000000000000001,5,96.24761904761877,0.595444917678833
66,0.1,0.7000000000000001,6,17.80648646930766,0.9660873413085938
67,0.1,0.7000000000000001,7,10.86614173228334,0.8109800815582275
68,0.1,0.7000000000000001,8,3.96825396825392,0.48519253730773926
69,0.1,0.7000000000000001,9,0.24282560706406928,0.4060084819793701
70,0.1,0.8,0,7.817460317460403,0.4666109085083008
71,0.1,0.8,1,25.980066445182654,0.4402177333831787
72,0.1,0.8,2,28.27077317933908,0.4755105972290039
73,0.1,0.8,3,402.96577946767974,0.4839487075805664
74,0.1,0.8,4,3.1558185404338954,0.46385836601257324
75,0.1,0.8,5,40.61522517429809,0.4706864356994629
76,0.1,0.8,6,462.66666666666544,0.4774649143218994
77,0.1,0.8,7,7.364341085271409,0.452892541885376
78,0.1,0.8,8,6.026785714285674,0.47293806076049805
79,0.1,0.8,9,14.564102564102704,0.4617178440093994
80,0.1,0.9,0,38.82748314197193,0.5127496719360352
81,0.1,0.9,1,34.67335562987743,0.5225145816802979
82,0.1,0.9,2,9.434343434343559,0.5075812339782715
