,proportion_train_config,source_selection_method,prop_inputs_source,id repetition,mape,training_time
0,0.1,random,0.1,0,9.933162927561668,0.05648159980773926
1,0.1,random,0.1,1,20.228160751167582,0.03940224647521973
2,0.1,random,0.1,2,23.44016633862932,0.04065871238708496
3,0.1,random,0.1,3,23.628258547201327,0.03922295570373535
4,0.1,random,0.1,4,23.51618131533314,0.03971743583679199
5,0.1,random,0.1,5,10.46328625922843,0.03871035575866699
6,0.1,random,0.1,6,24.579701502332796,0.03845500946044922
7,0.1,random,0.1,7,40.23657877280834,0.038683414459228516
8,0.1,random,0.1,8,12.15854982035002,0.0515599250793457
9,0.1,random,0.1,9,14.553134997990231,0.03950071334838867
10,0.1,same_input_grp,0.1,0,10.657240030718146,0.0398406982421875
11,0.1,same_input_grp,0.1,1,22.1247987408254,0.04095745086669922
12,0.1,same_input_grp,0.1,2,9.385519863922804,0.03915524482727051
13,0.1,same_input_grp,0.1,3,16.413076853870887,0.03884482383728027
14,0.1,same_input_grp,0.1,4,30.144819038289945,0.03909015655517578
15,0.1,same_input_grp,0.1,5,18.35032368188005,0.040108442306518555
16,0.1,same_input_grp,0.1,6,14.686983047575852,0.03889155387878418
17,0.1,same_input_grp,0.1,7,10.935665390019476,0.03807640075683594
18,0.1,same_input_grp,0.1,8,11.192727433440135,0.0388796329498291
19,0.1,same_input_grp,0.1,9,15.292570181439674,0.03773069381713867
20,0.1,closest_properties,0.1,0,8.639206405321909,0.08745121955871582
21,0.1,closest_properties,0.1,1,7.634495330657059,0.08382344245910645
22,0.1,closest_properties,0.1,2,15.503832775566707,0.08162069320678711
23,0.1,closest_properties,0.1,3,8.730512378073097,0.0917806625366211
24,0.1,closest_properties,0.1,4,7.726264967220085,0.08012080192565918
25,0.1,closest_properties,0.1,5,15.299348173954627,0.08889508247375488
26,0.1,closest_properties,0.1,6,8.585466375198166,0.08736085891723633
27,0.1,closest_properties,0.1,7,10.323305140294783,0.08014678955078125
28,0.1,closest_properties,0.1,8,11.10053788022556,0.08086133003234863
29,0.1,closest_properties,0.1,9,17.39259191893716,0.08025336265563965
30,0.1,max_perf_corr,0.1,0,11.610078902583165,0.10961723327636719
31,0.1,max_perf_corr,0.1,1,17.01795816064623,0.1084132194519043
32,0.1,max_perf_corr,0.1,2,5.954287079037064,0.11860871315002441
33,0.1,max_perf_corr,0.1,3,7.2129943065722975,0.1095895767211914
34,0.1,max_perf_corr,0.1,4,9.525806444490495,0.11081719398498535
35,0.1,max_perf_corr,0.1,5,6.73858287240825,0.10949254035949707
36,0.1,max_perf_corr,0.1,6,9.330170037124953,0.10895204544067383
37,0.1,max_perf_corr,0.1,7,8.768938496637285,0.1141042709350586
38,0.1,max_perf_corr,0.1,8,10.60100635836917,0.10518240928649902
39,0.1,max_perf_corr,0.1,9,17.145946763995774,0.10458564758300781
40,0.1,random,0.2,0,13.348744821783173,0.03600001335144043
41,0.1,random,0.2,1,23.640287664984776,0.03651785850524902
42,0.1,random,0.2,2,14.059996104751434,0.04742860794067383
43,0.1,random,0.2,3,13.820969643120936,0.03662419319152832
44,0.1,random,0.2,4,12.394711948276008,0.038099050521850586
45,0.1,random,0.2,5,9.079479853215847,0.03734087944030762
46,0.1,random,0.2,6,14.584265785773937,0.036276817321777344
47,0.1,random,0.2,7,15.561931442571481,0.03728675842285156
48,0.1,random,0.2,8,37.962390631263716,0.03717660903930664
49,0.1,random,0.2,9,12.986589376887936,0.04791426658630371
50,0.1,same_input_grp,0.2,0,27.909024888726243,0.03725028038024902
51,0.1,same_input_grp,0.2,1,18.233295410385285,0.03711891174316406
52,0.1,same_input_grp,0.2,2,14.679568696752233,0.05460405349731445
53,0.1,same_input_grp,0.2,3,20.167691862522585,0.03541374206542969
54,0.1,same_input_grp,0.2,4,26.46909211213976,0.03883528709411621
55,0.1,same_input_grp,0.2,5,9.335792859516499,0.04350090026855469
56,0.1,same_input_grp,0.2,6,7.950139607919124,0.03828740119934082
57,0.1,same_input_grp,0.2,7,17.19984530668301,0.03751063346862793
58,0.1,same_input_grp,0.2,8,12.490283228794654,0.037810325622558594
59,0.1,same_input_grp,0.2,9,22.979684960173476,0.03775310516357422
60,0.1,closest_properties,0.2,0,10.111186360623194,0.13100934028625488
61,0.1,closest_properties,0.2,1,10.41229445398027,0.12364006042480469
62,0.1,closest_properties,0.2,2,14.291778875654995,0.12354350090026855
63,0.1,closest_properties,0.2,3,9.35159629644094,0.12370896339416504
64,0.1,closest_properties,0.2,4,11.55542705829843,0.12282013893127441
65,0.1,closest_properties,0.2,5,6.923890017815168,0.12310314178466797
66,0.1,closest_properties,0.2,6,10.729796711945374,0.12404394149780273
67,0.1,closest_properties,0.2,7,14.229889482546145,0.1290113925933838
68,0.1,closest_properties,0.2,8,8.448212958334308,0.12257909774780273
69,0.1,closest_properties,0.2,9,4.979121040944647,0.12422752380371094
70,0.1,max_perf_corr,0.2,0,22.25635592975965,0.17115402221679688
71,0.1,max_perf_corr,0.2,1,8.724735689624756,0.17884421348571777
72,0.1,max_perf_corr,0.2,2,5.2333790160534175,0.1767292022705078
73,0.1,max_perf_corr,0.2,3,11.383326727813209,0.16696405410766602
74,0.1,max_perf_corr,0.2,4,8.18882348959151,0.17362523078918457
75,0.1,max_perf_corr,0.2,5,8.092400804528213,0.16553497314453125
76,0.1,max_perf_corr,0.2,6,12.70048551734757,0.1695556640625
77,0.1,max_perf_corr,0.2,7,9.386514488574123,0.16767668724060059
78,0.1,max_perf_corr,0.2,8,16.512626900476977,0.16476178169250488
79,0.1,max_perf_corr,0.2,9,10.647189908816094,0.1673896312713623
80,0.1,random,0.30000000000000004,0,62.43838816049735,0.03731679916381836
81,0.1,random,0.30000000000000004,1,19.350972435073295,0.04561805725097656
82,0.1,random,0.30000000000000004,2,12.939838708154888,0.03700566291809082
83,0.1,random,0.30000000000000004,3,75.03204311113507,0.05542707443237305
84,0.1,random,0.30000000000000004,4,9.965527083012296,0.03704357147216797
85,0.1,random,0.30000000000000004,5,11.84763961927898,0.039794206619262695
86,0.1,random,0.30000000000000004,6,11.601444371958987,0.03751635551452637
87,0.1,random,0.30000000000000004,7,16.46227161987982,0.03622841835021973
88,0.1,random,0.30000000000000004,8,7.837658771249538,0.04467439651489258
89,0.1,random,0.30000000000000004,9,8.405398283792291,0.03694939613342285
